"","Vote98","Contact","Contacted","Age","Party","Vote96"
"1",1,1,0,54,0,1
"2",0,1,0,45,0,0
"3",0,1,0,72,1,1
"4",0,1,0,28,1,1
"5",0,1,0,30,0,0
"6",0,1,0,30,1,0
"7",0,1,0,59,0,0
"8",0,1,0,27,1,0
"9",0,1,0,25,0,1
"10",1,1,0,82,1,1
"11",1,1,0,81,0,1
"12",0,1,0,21,0,0
"13",1,1,0,58,1,1
"14",0,1,0,36,0,1
"15",1,1,0,33,1,1
"16",1,1,0,27,1,1
"17",0,1,0,42,0,1
"18",1,1,0,26,1,1
"19",0,1,0,21,1,0
"20",1,1,0,74,0,1
"21",0,1,0,23,1,0
"22",0,1,0,36,0,0
"23",0,1,0,42,0,0
"24",1,1,0,63,1,0
"25",0,1,0,23,1,0
"26",1,1,0,50,0,0
"27",0,1,0,56,1,1
"28",0,1,0,43,1,0
"29",0,1,0,66,1,1
"30",1,1,0,41,0,1
"31",1,1,1,36,1,0
"32",0,1,0,30,0,1
"33",0,1,0,28,0,0
"34",1,1,1,39,0,1
"35",1,1,0,28,1,0
"36",1,1,0,44,1,1
"37",0,1,0,46,1,0
"38",1,1,0,33,1,0
"39",1,1,0,49,1,0
"40",0,1,0,55,1,0
"41",1,1,0,71,1,1
"42",0,1,0,33,0,0
"43",0,1,0,31,1,0
"44",0,1,0,34,1,0
"45",0,1,0,42,0,1
"46",0,1,0,23,0,0
"47",0,1,0,34,1,0
"48",0,1,0,52,0,0
"49",0,1,0,19,0,0
"50",0,1,0,31,0,0
"51",0,1,0,28,1,0
"52",0,1,0,24,1,0
"53",0,1,0,47,1,0
"54",1,1,0,31,1,1
"55",0,1,0,33,1,0
"56",1,1,0,21,1,0
"57",0,1,0,30,0,1
"58",0,1,0,85,1,0
"59",0,1,0,37,1,0
"60",1,1,0,69,1,1
"61",1,1,0,83,0,1
"62",0,1,0,93,0,1
"63",0,1,0,44,1,1
"64",0,1,0,34,1,1
"65",0,1,0,33,1,0
"66",1,1,0,44,1,1
"67",1,1,0,80,1,1
"68",1,1,0,0,1,1
"69",0,1,0,64,0,1
"70",0,1,0,31,1,0
"71",0,1,0,67,1,0
"72",0,1,0,55,1,0
"73",0,1,0,49,1,0
"74",0,1,0,33,1,0
"75",1,1,0,60,0,1
"76",1,1,0,52,1,0
"77",1,1,0,61,1,0
"78",0,1,0,31,1,0
"79",1,1,1,84,1,1
"80",0,1,0,51,1,0
"81",0,1,0,50,1,0
"82",1,1,0,72,1,1
"83",0,1,0,48,0,1
"84",1,1,0,25,1,1
"85",1,1,0,53,1,1
"86",1,1,0,57,1,1
"87",0,1,0,63,1,1
"88",0,1,0,88,1,0
"89",1,1,0,90,1,1
"90",1,1,0,79,1,1
"91",1,1,0,39,1,0
"92",1,1,0,81,1,0
"93",0,1,0,30,1,0
"94",0,1,0,46,1,0
"95",0,1,0,35,0,1
"96",0,1,0,32,0,1
"97",1,1,1,91,1,1
"98",1,1,0,67,1,0
"99",0,1,0,26,1,0
"100",1,1,0,79,1,1
"101",0,1,0,26,0,0
"102",1,1,0,57,1,0
"103",1,1,0,50,1,1
"104",0,1,0,52,1,1
"105",1,1,0,29,1,0
"106",1,1,0,49,1,1
"107",0,1,0,85,0,1
"108",1,1,0,25,0,0
"109",0,1,0,25,1,0
"110",0,1,0,57,1,0
"111",0,1,0,29,0,0
"112",0,1,0,59,1,0
"113",1,1,0,50,1,1
"114",0,1,0,38,1,1
"115",1,1,0,33,0,0
"116",1,1,0,84,0,1
"117",0,1,0,40,0,0
"118",1,1,0,70,1,0
"119",0,1,0,56,0,0
"120",0,1,0,45,0,0
"121",0,1,0,83,1,1
"122",1,1,0,20,0,0
"123",0,1,0,41,1,0
"124",0,1,0,74,1,1
"125",0,1,0,35,1,0
"126",0,1,0,41,1,0
"127",1,1,1,64,1,1
"128",1,1,0,86,1,1
"129",0,1,0,27,1,0
"130",1,1,0,71,1,0
"131",0,1,0,59,0,1
"132",0,1,0,83,1,0
"133",1,1,0,43,1,1
"134",1,1,0,58,1,0
"135",0,1,0,45,1,1
"136",0,1,0,41,1,0
"137",1,1,0,82,1,1
"138",1,1,0,32,1,0
"139",1,1,0,40,1,0
"140",0,1,1,21,1,0
"141",1,1,0,55,0,1
"142",0,1,0,82,1,1
"143",1,1,0,54,1,1
"144",0,1,0,30,1,0
"145",0,1,0,46,1,1
"146",0,1,0,100,1,1
"147",0,1,0,25,0,1
"148",0,1,0,50,1,0
"149",0,1,0,27,0,1
"150",1,1,0,77,1,0
"151",1,1,0,75,1,1
"152",1,1,1,60,1,1
"153",0,1,0,33,0,0
"154",0,1,0,29,1,0
"155",0,1,0,35,1,0
"156",1,1,0,47,1,1
"157",0,1,0,21,0,0
"158",0,1,0,48,1,0
"159",1,1,0,47,1,1
"160",0,1,0,20,0,0
"161",1,1,0,64,1,0
"162",0,1,0,46,1,0
"163",1,1,0,70,1,1
"164",1,1,0,84,1,1
"165",0,1,0,65,0,1
"166",1,1,0,83,1,1
"167",0,1,0,45,0,0
"168",0,1,0,59,1,0
"169",0,1,0,45,1,0
"170",1,1,1,70,0,0
"171",0,1,0,32,0,1
"172",1,1,0,35,1,1
"173",1,1,0,49,1,1
"174",1,1,1,85,1,1
"175",0,1,0,26,0,0
"176",0,1,0,45,1,0
"177",0,1,0,51,0,0
"178",0,1,1,45,1,0
"179",1,1,1,56,0,0
"180",0,1,0,27,0,1
"181",0,1,0,29,1,0
"182",1,1,0,63,0,0
"183",0,1,0,91,1,0
"184",0,1,0,85,1,0
"185",1,1,1,39,1,0
"186",1,1,1,68,1,1
"187",0,1,1,22,0,0
"188",0,1,0,50,1,0
"189",0,1,1,41,1,0
"190",1,1,1,81,1,1
"191",0,1,1,63,1,0
"192",0,1,0,90,1,0
"193",1,1,1,44,1,0
"194",0,1,1,41,0,0
"195",1,1,0,67,0,1
"196",1,1,1,31,0,1
"197",0,1,0,90,0,0
"198",1,1,0,76,1,0
"199",0,1,0,48,0,0
"200",0,1,0,35,0,0
"201",0,1,0,36,0,0
"202",0,1,0,39,1,0
"203",0,1,0,30,1,0
"204",0,1,0,95,1,1
"205",1,1,1,79,1,1
"206",1,1,0,59,1,0
"207",0,1,0,35,0,0
"208",0,1,0,40,1,0
"209",1,1,0,34,1,1
"210",0,1,0,47,1,0
"211",0,1,0,21,0,0
"212",1,1,1,28,1,0
"213",1,1,0,78,1,1
"214",0,1,0,36,1,0
"215",1,1,0,33,1,1
"216",0,1,0,31,0,0
"217",0,1,0,44,1,1
"218",0,1,0,75,1,0
"219",0,1,0,21,1,0
"220",0,1,0,48,1,1
"221",0,1,0,74,1,0
"222",0,1,1,38,0,1
"223",1,1,0,49,1,0
"224",0,1,0,34,1,0
"225",1,1,0,36,1,0
"226",1,1,0,72,1,1
"227",0,1,1,32,0,0
"228",0,1,0,79,1,1
"229",0,1,0,20,0,1
"230",0,1,1,49,0,1
"231",1,1,0,54,1,1
"232",1,1,0,61,1,0
"233",1,1,0,33,0,1
"234",0,1,0,29,1,1
"235",1,1,0,33,1,1
"236",1,1,0,65,1,1
"237",1,1,1,40,1,1
"238",1,1,1,31,1,1
"239",1,1,0,76,0,0
"240",0,1,1,33,0,0
"241",0,1,0,26,0,0
"242",0,1,1,35,0,0
"243",1,1,1,81,1,1
"244",0,1,0,30,1,1
"245",1,1,1,80,0,1
"246",0,1,0,39,1,1
"247",1,1,0,37,0,1
"248",0,1,0,33,1,0
"249",0,1,0,26,0,1
"250",1,1,0,84,0,1
"251",0,1,0,33,0,1
"252",0,1,0,43,1,0
"253",0,1,0,56,1,0
"254",1,1,0,26,0,1
"255",0,1,1,49,1,0
"256",0,1,1,18,0,0
"257",0,1,0,32,1,0
"258",0,1,0,82,1,1
"259",1,1,0,41,1,0
"260",1,1,1,80,1,1
"261",1,1,1,50,1,1
"262",1,1,0,0,1,1
"263",1,1,1,59,1,0
"264",1,1,1,86,1,1
"265",0,1,0,85,1,1
"266",0,1,1,45,1,0
"267",0,1,0,25,1,0
"268",0,1,0,42,1,0
"269",1,1,0,50,0,1
"270",0,1,0,86,0,1
"271",1,1,0,62,0,1
"272",0,1,0,31,1,1
"273",0,1,0,26,1,0
"274",1,1,1,64,1,1
"275",0,1,1,79,0,0
"276",0,1,0,43,1,0
"277",1,1,0,56,1,1
"278",0,1,0,26,1,0
"279",1,1,0,64,0,1
"280",0,1,0,24,1,0
"281",0,1,0,34,1,0
"282",1,1,0,79,1,1
"283",1,1,0,60,0,1
"284",1,1,1,38,1,1
"285",1,1,1,35,0,1
"286",0,1,1,87,0,1
"287",1,1,0,46,0,1
"288",1,1,0,75,1,1
"289",0,1,0,33,1,1
"290",0,1,1,36,1,0
"291",0,1,0,86,1,0
"292",1,1,0,27,0,1
"293",0,1,0,36,1,0
"294",1,1,0,68,1,0
"295",0,1,0,43,1,0
"296",0,1,1,27,1,0
"297",0,1,0,45,1,0
"298",1,1,1,76,1,0
"299",0,1,1,21,0,0
"300",1,1,1,89,1,1
"301",0,1,0,58,0,0
"302",0,1,1,40,1,0
"303",0,1,1,34,1,0
"304",0,1,0,33,1,0
"305",0,1,0,28,1,0
"306",0,1,0,27,1,0
"307",1,1,0,71,1,1
"308",1,1,0,54,1,0
"309",0,1,0,35,0,0
"310",0,1,1,46,1,0
"311",0,1,1,33,1,0
"312",1,1,1,55,1,1
"313",1,1,0,29,1,0
"314",1,1,1,70,1,1
"315",1,1,0,60,0,1
"316",0,1,0,39,1,0
"317",0,1,0,34,0,1
"318",1,1,0,35,1,0
"319",1,1,0,88,1,1
"320",1,1,1,38,1,0
"321",0,1,0,26,0,1
"322",0,1,0,21,1,1
"323",1,1,0,76,1,1
"324",1,1,1,33,1,0
"325",0,1,1,27,0,0
"326",1,1,0,76,1,0
"327",0,1,1,41,1,0
"328",0,1,0,38,0,0
"329",0,1,0,68,1,0
"330",1,1,0,45,1,1
"331",1,1,0,51,0,1
"332",1,1,1,79,1,1
"333",0,1,0,70,0,1
"334",0,1,0,78,1,0
"335",0,1,0,77,1,0
"336",1,1,1,84,1,1
"337",1,1,0,36,1,0
"338",1,1,0,33,1,1
"339",0,1,1,33,1,0
"340",0,1,0,49,0,0
"341",0,1,0,42,1,0
"342",1,1,1,74,1,1
"343",0,1,0,36,1,1
"344",0,1,0,33,1,0
"345",0,1,0,31,1,0
"346",1,1,1,50,1,1
"347",0,1,0,34,0,1
"348",1,1,1,71,1,1
"349",1,1,0,70,1,1
"350",0,1,1,41,1,1
"351",0,1,1,77,0,0
"352",0,1,0,24,0,1
"353",0,1,0,26,0,1
"354",0,1,0,22,1,0
"355",0,1,0,27,0,0
"356",1,1,1,88,1,1
"357",1,1,1,76,1,1
"358",0,1,0,40,0,0
"359",0,1,1,88,1,1
"360",0,1,1,34,1,0
"361",0,1,0,22,1,0
"362",0,1,0,31,1,0
"363",0,1,0,52,1,0
"364",0,1,1,66,0,1
"365",0,1,0,53,0,0
"366",1,1,0,24,1,0
"367",0,1,1,34,0,0
"368",1,1,0,45,1,1
"369",1,1,0,39,1,1
"370",0,1,1,68,1,0
"371",0,1,1,22,1,0
"372",0,1,0,37,1,0
"373",1,1,0,54,1,0
"374",0,1,0,81,1,1
"375",0,1,0,68,1,1
"376",0,1,1,85,1,0
"377",1,1,0,36,1,0
"378",0,1,0,29,1,0
"379",1,1,1,100,1,1
"380",1,1,0,39,0,0
"381",0,1,1,61,1,1
"382",1,1,0,55,1,0
"383",0,1,1,69,0,0
"384",0,1,0,28,0,1
"385",0,1,0,27,1,0
"386",1,1,1,57,0,1
"387",0,1,1,73,0,1
"388",1,1,1,88,1,1
"389",1,1,1,73,1,1
"390",0,1,0,84,1,1
"391",1,1,1,78,1,0
"392",0,1,0,20,1,0
"393",0,1,0,28,1,0
"394",0,1,0,31,0,0
"395",1,1,1,79,0,1
"396",0,1,0,47,1,0
"397",0,1,0,35,1,1
"398",0,1,1,36,0,0
"399",0,1,0,78,1,0
"400",1,1,0,72,1,1
"401",1,1,1,59,1,0
"402",0,1,1,53,1,1
"403",0,1,1,47,1,0
"404",1,1,0,47,1,1
"405",0,1,0,87,1,1
"406",0,1,0,88,1,1
"407",0,1,0,81,1,0
"408",1,1,0,61,0,0
"409",0,1,0,43,1,0
"410",0,1,1,35,1,0
"411",0,1,0,24,1,1
"412",0,1,0,77,1,0
"413",1,1,1,58,1,1
"414",1,1,0,35,1,1
"415",1,1,0,79,1,1
"416",0,1,0,36,0,0
"417",0,1,0,39,1,0
"418",0,1,0,36,1,0
"419",0,1,0,31,0,0
"420",1,1,1,54,0,1
"421",1,1,1,41,0,1
"422",0,1,1,80,1,0
"423",1,1,0,41,1,0
"424",0,1,0,36,1,1
"425",0,1,0,39,1,0
"426",1,1,0,62,1,1
"427",1,1,1,86,1,1
"428",0,1,0,63,1,1
"429",0,1,0,79,1,0
"430",0,1,0,27,0,0
"431",1,1,0,41,0,0
"432",1,1,1,66,0,1
"433",0,1,0,81,1,0
"434",0,1,0,46,1,1
"435",0,1,0,28,0,0
"436",0,1,1,0,1,1
"437",0,1,0,33,1,0
"438",1,1,1,78,1,1
